"basvuruid","kursiyerid","zamandamgası","suankidurum","itphegitimkatılmak","ekonomikdurum","dilkursunadevam","ingilizceseviye","hollandacaseviye","baskigoruyor","bootcampbitirdi","onlineitkursu","ittecrube","projedahil","calismaistegi","nedenkatılmakistiyor","basvurudonemi"
18,18,"5.7.2023 13:32:15","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Cybersecurity eğitimine katılmak istiyorum","Uitkering Alıyorum","Evet","A1","B1","Kısmen","Python kursu bitirdim. html, css, javaschript genel online ders aldım.","Evet","Hayır","Evet","Cloud Engineer, Tester, Web Tasarım, Software Developer","Teknik bir iş olduğu için daha az dil gereksinimi olduğunu düşündünüyorum, Bu sektördeki maaşların iyi olduğunu düşünüyorum, Bu sektörde çok fazla eleman ihtiyacı olduğu için, IT ile ilgili eğitimim veya iş tecrübem olduğu için, Bu mesleği yapabileceğime inanıyorum","VIT3"
19,19,"5.10.2023 10:23:17","Kampta, oturum aldım, belediyem belli , ev bekliyorum","Cybersecurity eğitimine katılmak istiyorum","Uitkering Alıyorum","Evet","A1","A1","Hayır","Hayır","Hayır","Hayır","Hayır","Kararsızım, Hiç bir fikrim yok, Tester","Kararsızım ama bir eğitim alıp yapıp yapamayacağımı görmek istiyorum?, Diğer sektörler hakkındaki iş imkanları hakkında yeterince bilgim yok, Bu sektördeki maaşların iyi olduğunu düşünüyorum, Bu sektörde çok fazla eleman ihtiyacı olduğu için, Kendi mesleğini yapma imkanım olmadığını düşündüğüm için, Bu mesleği yapabileceğime inanıyorum","VIT3"
20,20,"5.10.2023 10:23:17","Kampta, oturum aldım, belediyem belli , ev bekliyorum","Cybersecurity eğitimine katılmak istiyorum","Uitkering Alıyorum","Evet","A1","A1","Hayır","Hayır","Hayır","Hayır","Hayır","Kararsızım, Hiç bir fikrim yok, Tester","Kararsızım ama bir eğitim alıp yapıp yapamayacağımı görmek istiyorum?, Diğer sektörler hakkındaki iş imkanları hakkında yeterince bilgim yok, Bu sektördeki maaşların iyi olduğunu düşünüyorum, Bu sektörde çok fazla eleman ihtiyacı olduğu için, Kendi mesleğini yapma imkanım olmadığını düşündüğüm için, Bu mesleği yapabileceğime inanıyorum","VIT3"
21,21,"5.10.2023 10:29:25","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Bu eğitimler ilgi alanım dışında başka alanlardaki eğitimlere katılmak istiyorum","Uitkering Alıyorum","Evet","B1","A2","Evet","Evet","Evet","Hayır","Hayır","Cloud Engineer, Cyber Security","IT ile ilgili eğitimim veya iş tecrübem olduğu için, İngilizce çalışabilme imkanı olduğu için, Bu mesleği yapabileceğime inanıyorum","VIT3"
22,22,"5.10.2023 12:35:18","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Bu eğitimler ilgi alanım dışında başka alanlardaki eğitimlere katılmak istiyorum","Uitkering Alıyorum","Hayır","A2","B2 ve üzeri","Kısmen","Hayır","Evet","Hayır","Hayır","Kararsızım, Cyber Security","Çevremde bir çok kişi bu sektöre girdiği için, Bu sektörde çok fazla eleman ihtiyacı olduğu için, Bu mesleği yapabileceğime inanıyorum","VIT3"
23,23,"5.11.2023 09:28:25","Kampta, oturum görüşmesi bekliyorum","Cybersecurity eğitimine katılmak istiyorum","Uitkering Alıyorum","Hayır","A2","A1","HENUZ KAMPTA KALIYORUM.","Hayır","Hayır","Hayır","Hayır","Kararsızım, Data Engineer","İngilizce çalışabilme imkanı olduğu için, Kendi mesleğini yapma imkanım olmadığını düşündüğüm için, Bu mesleği yapabileceğime inanıyorum","VIT3"
24,24,"5.18.2023 11:19:09","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Cybersecurity eğitimine katılmak istiyorum","Eşim Çalıştığı için uitkering almıyoruz","Evet","B2 ve üzeri","B1","Hayır","Evet","Hayır","Hayır","Hayır","Cloud Engineer","Bu sektördeki maaşların iyi olduğunu düşünüyorum, IT ile ilgili eğitimim veya iş tecrübem olduğu için, Kendi mesleğini yapma imkanım olmadığını düşündüğüm için, Bu mesleği yapabileceğime inanıyorum","VIT3"
25,25,"5.21.2023 16:51:57","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Bu eğitimler ilgi alanım dışında başka alanlardaki eğitimlere katılmak istiyorum","Uitkering Alıyorum","Evet","A2","B2 ve üzeri","Kısmen","Hayır","Hayır","Hayır","Evet","Kararsızım","Bu sektördeki maaşların iyi olduğunu düşünüyorum, Bu sektörde çok fazla eleman ihtiyacı olduğu için","VIT3"
26,26,"5.21.2023 21:35:50","Kampta, oturum aldım, belediyem belli , ev bekliyorum","İngilizcemi geliştirmek istiyorum.","Diğer","Evet","B1","A1","Hayır","Evet","Evet","Hayır","Hayır","Data Engineer, Data Science, Data Analyst","IT ile ilgili eğitimim veya iş tecrübem olduğu için, Bu mesleği yapabileceğime inanıyorum","VIT3"
27,27,"5.21.2023 22:49:30","Kampta, oturum görüşmesi bekliyorum","Cybersecurity eğitimine katılmak istiyorum","Diğer","Hayır","A2","A1","Henüz belediye belirlenmedi","Hayır","Evet","Evet","Hayır","Tester, Web Tasarım, Software Developer","IT ile ilgili eğitimim veya iş tecrübem olduğu için","VIT3"
28,28,"5.21.2023 23:19:31","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Cybersecurity eğitimine katılmak istiyorum","Uitkering Alıyorum","Evet","A2","A1","Hayır","Evet","Evet","Evet","Hayır","Cyber Security","IT ile ilgili eğitimim veya iş tecrübem olduğu için, İngilizce çalışabilme imkanı olduğu için, Kendi mesleğini yapma imkanım olmadığını düşündüğüm için, Bu mesleği yapabileceğime inanıyorum","VIT3"
29,29,"5.21.2023 23:49:48","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Cybersecurity eğitimine katılmak istiyorum","Diğer","Evet","A2","A2","Kısmen","Hayır","Evet","Hayır","Hayır","Data Engineer, Cyber Security, Data Analysis","Bu sektördeki maaşların iyi olduğunu düşünüyorum, Bu sektörde çok fazla eleman ihtiyacı olduğu için, İngilizce çalışabilme imkanı olduğu için, Kendi mesleğini yapma imkanım olmadığını düşündüğüm için, Bu mesleği yapabileceğime inanıyorum","VIT3"
30,30,"5.22.2023 15:42:43","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Bu eğitimler ilgi alanım dışında başka alanlardaki eğitimlere katılmak istiyorum","Uitkering Alıyorum","Hayır","A2","A2","Hayır","Hayır","Hayır","Hayır","Hayır","Software Developer, Cyber Security","Bu mesleği yapabileceğime inanıyorum","VIT3"
31,31,"5.22.2023 15:42:43","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Bu eğitimler ilgi alanım dışında başka alanlardaki eğitimlere katılmak istiyorum","Uitkering Alıyorum","Hayır","A2","A2","Hayır","Hayır","Hayır","Hayır","Hayır","Software Developer, Cyber Security","Bu mesleği yapabileceğime inanıyorum","VIT3"
32,32,"5.16.2021 22:55:32","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Powerplatform eğitimine katılmak istiyorum","Uitkering Alıyorum","Hayır","B2 ve üzeri","A1","Hayır","Evet","Evet","Hayır","Hayır","Salesforce admin/developer","Bu sektördeki maaşların iyi olduğunu düşünüyorum, İngilizce çalışabilme imkanı olduğu için, Bu mesleği yapabileceğime inanıyorum","VIT3"
33,33,"5.21.2023 23:19:31","Eve geçtim (dil çalışıyorum ve/veya iş arıyorum ve/veya çalışıyorum)","Cybersecurity eğitimine katılmak istiyorum","Uitkering Alıyorum","Evet","A2","A1","Hayır","Evet","Evet","Evet","Hayır","Cyber Security","IT ile ilgili eğitimim veya iş tecrübem olduğu için, İngilizce çalışabilme imkanı olduğu için, Kendi mesleğini yapma imkanım olmadığını düşündüğüm için, Bu mesleği yapabileceğime inanıyorum","VIT3"
